dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
cora,sgformer,mlp,homophily,0.2,500,123,4,79.4000,81.1000,0.10101453214883804,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.2,500,123,5,78.8000,82.1000,0.09888196736574173,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.2,500,123,6,82.0000,84.3000,0.09755665063858032,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.2,500,123,7,81.4000,84.1000,0.11696379631757736,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.2,500,123,8,80.0000,81.7000,0.09564505517482758,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.2,500,123,9,81.2000,82.6000,0.10937710106372833,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,0,82.0000,83.3000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,1,80.0000,81.8000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,2,81.6000,84.4000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,3,80.8000,81.9000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,4,81.4000,81.4000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,5,80.4000,83.8000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,6,81.6000,82.6000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,7,81.2000,83.3000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,8,82.2000,83.1000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,oracle,none,0.4,,123,9,81.2000,83.7000,0.0,0.3025507926940918,,,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,0,79.8000,83.4000,0.0798838883638382,0.08762942999601364,0.4780000150203705,0.6159365773200989,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,1,79.0000,81.1000,0.0797940194606781,0.09008850157260895,0.48000001907348633,0.6215466260910034,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,2,82.2000,83.4000,0.1094716265797615,0.11667870730161667,0.4780000150203705,0.613129734992981,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,3,80.6000,82.4000,0.08626630157232285,0.09356599301099777,0.4440000355243683,0.6330684423446655,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,4,80.2000,82.8000,0.10101453214883804,0.10951093584299088,0.47600001096725464,0.6251900792121887,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,5,78.6000,82.0000,0.09888196736574173,0.10583692789077759,0.46400001645088196,0.6283481121063232,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,6,82.2000,84.2000,0.09755665063858032,0.10455022007226944,0.45000001788139343,0.6338091492652893,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,7,81.8000,83.7000,0.11696379631757736,0.12465935200452805,0.4580000340938568,0.622273325920105,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,8,80.2000,80.6000,0.09564505517482758,0.10316939651966095,0.492000013589859,0.6336329579353333,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
cora,sgformer,mlp,homophily,0.4,500,123,9,81.4000,82.0000,0.10937710106372833,0.11583700776100159,0.47200003266334534,0.6265757083892822,"lr=0.01,hid=64,do=0.5,wd=0.0005,heads=1,gcn_l=4,tr_l=1,gw=0.8,alpha=0.5,tr_do=0.2,tr_wd=0.001,bn=False"
